componente,DESCRICAO_PRODUTO,UNIDADE_MEDIDA,CLASSIFICACAO_AIZI,TIPO,DESCRICAO_TIPO,ITEM_FANTASMA,quantidade_por_conjunto,quantidade_conjuntos,quantidade_necessaria,cadastro_encontrado,quantidade_total,FABRICAR,COMPRAR,MATERIA_PRIMA,ITEM_COMERCIAL
G1009107,BOMBA HIDRAULICA SAIDA TRASEIRA 56.5 CM3/ROT SAE B 13Z,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1009112,FECHO DE EMBUTIR 16MM C/CHAVE PROFUGO 724,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,35.0,10.0,350.0,True,35.0,False,True,False,True
G1009129,REGISTRO SEXTAVADO 1/4POL 1120,PC,ITEM_COMERCIAL,MC,MATERIAL DE USO E CONSUMO,N,8.0,10.0,80.0,True,8.0,False,True,False,True
G1009132,"FILTRO DE REDE Y 3/4""",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,28.0,10.0,280.0,True,28.0,False,True,False,True
G1009160,PONTO DE ATERRAMENTO MGN 101056,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,4.0,10.0,40.0,True,4.0,False,True,False,True
G1009172,BUCHA APOIO TANQUE DIAM EXT 70 X ALTURA 70 X DIAM INT 20 MM CONF DESENHO,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,37.328,10.0,373.28000000000003,True,37.328,False,True,False,True
G1009174,"ANEL ORING 46,99X5,33MM (COD PARKER 2328)",PC,ITEM_COMERCIAL,MC,MATERIAL DE USO E CONSUMO,N,9.0,10.0,90.0,True,9.0,False,True,False,True
G1009195,VALVULA DE SEGURANCA 175 PSI 1/4'' NPT,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,9.0,10.0,90.0,True,9.0,False,True,False,True
G1009196,"NIPLE DUPLO FG NBR 6590 1/2"" BSP NBR 6943 150LBS",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,3.0,10.0,30.0,True,3.0,False,True,False,True
G1009197,"ADAP TEE 90 FG NBR 6590 1/2"" BSP NBR 6943 150LBS",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1009199,REGISTRO ESFERA 3/4POL,PC,ITEM_COMERCIAL,MC,MATERIAL DE USO E CONSUMO,N,28.0,10.0,280.0,True,28.0,False,True,False,True
G1009201,CONECTOR RETO TUBO 10 X ROSCA MACHO 1/4POL NPT,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,17.0,10.0,170.0,True,17.0,False,True,False,True
G1009204,ADAPTADOR RETO MF JIC 7/16 UNF X MF NPT 1/4,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1009205,ADAPTADOR 90° MF JIC 7/8 UNF X MF NPT 3/8,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G1009208,CURVA ACO SCH40 RL PS 2POL X 90 GRAUS,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,3.0,10.0,30.0,True,3.0,False,True,False,True
G1009210,ABRACADEIRA ACO CARBONO SUPRENS MS MPA 3540,PC,ITEM_COMERCIAL,MC,MATERIAL DE USO E CONSUMO,N,2.0,10.0,20.0,True,2.0,False,True,False,True
