componente,DESCRICAO_PRODUTO,UNIDADE_MEDIDA,CLASSIFICACAO_AIZI,TIPO,DESCRICAO_TIPO,ITEM_FANTASMA,quantidade_por_conjunto,quantidade_conjuntos,quantidade_necessaria,cadastro_encontrado,quantidade_total,FABRICAR,COMPRAR,MATERIA_PRIMA,ITEM_COMERCIAL
G3005252,"PF SX FL M16 X 2,0 X 45 CL 10.9 DIN 912 RP DIN 6921 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,32.0,10.0,320.0,True,32.0,False,True,False,True
G3006035,"GONZO 16MM 5/8"" CONF DES",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,118.0,10.0,1180.0,True,118.0,False,True,False,True
G3006152,"CURVA AC ASTM A234 GR WPB 90 RL SCH40 3/4"" ANSI B 16.9 PS DIAM EXT 26,67MM ESP 2,87MM",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,9.0,10.0,90.0,True,9.0,False,True,False,True
G3006212,"REBITE POP REPUXO ALUMINIO 4,8X30MM",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G3006749,"NIPLE REDUCAO 1"" X 1/2"" GALVANIZADO",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G3007835,"PO SX FL SERRILHADO M8 X 1,25 CL8 DIN6923 MACROCOLT",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,11744.0,10.0,117440.0,True,11744.0,False,True,False,True
G3007837,"PO SX FL M12 X 1,75 CL8 TORQ DIN6927 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,36.0,10.0,360.0,True,36.0,False,True,False,True
G3007840,"PF SX FL M10 X 1,50 X 35 CL 8.8 DIN 6921",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,5925.0,10.0,59250.0,True,5925.0,False,True,False,True
G3008085,"PO SX FL M10 X 1,50 CL 8.8 DIN 6923 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,16.0,10.0,160.0,True,16.0,False,True,False,True
G3008736,FILTRO DE RETORNO CASAPPA HF 547 20 280 CONF DES,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G3008964,"PF ALLEN SEM CAB M10 X 1,50 X 16 CL12.9 DIN916 RI GEOMET A",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G3009026,SINALIZADOR ACUSTICO UNIVERSAL DNI 0516,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G3010009,PINO ELASTICO DIN 1481 5 X 20 CONF DES,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,70.0,10.0,700.0,True,70.0,False,True,False,True
G3010140,BOTAO ACIONAMENTO TOMADA DE FORÇA COM LED E SAIDA PARA SIRENE,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G3010420,"PO SX AUT TRAV M20 X 2,50 CL8 DIN985 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,132.0,10.0,1320.0,True,132.0,False,True,False,True
G3011461,"BUJAO FG NBR 6590 3/4"" BSP NBR 6943 150LBS",PC,ITEM_COMERCIAL,MC,MATERIAL DE USO E CONSUMO,N,3.0,10.0,30.0,True,3.0,False,True,False,True
G3013059,"PF MAQ CAB PANELA PHILLIPS M4 X 0,7 X 16 CL5.8 DIN7985 BICROMATIZADO",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,300.0,10.0,3000.0,True,300.0,False,True,False,True
G3016892,"NIPLE DUPLO FG NBR 6590 1/4"" BSP NBR 6943 150LBS",PC,ITEM_COMERCIAL,MC,MATERIAL DE USO E CONSUMO,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G3016900,"COTOVELO 90 FG NBR 6590 F X F 1"" BSP NBR 6943 150LBS",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1000553,REBITE ACO DA CORDA 1/2 X 1 POL,UN,ITEM_COMERCIAL,MP,MATERIA PRIMA,,4.0,10.0,40.0,True,4.0,False,True,False,True
G1003793,"PINO QUEBRA DEDO 1/4 X 2"" MONTADO C/ CABO DE ACO 2MM CONF DES",UN,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G1004237,INSERT DE COMPRESSAO 10MM,UN,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,24.0,10.0,240.0,True,24.0,False,True,False,True
G1009096,COMPRESSOR 20 PES SEM MOTOR COM VAL DE DESCARGA VOLANTE 320 MM,UN,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1009283,EXTINTOR PQS 8KG S/ SUPORTE,UN,ITEM_COMERCIAL,MC,MATERIAL DE USO E CONSUMO,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G3000223,ARRUELA LISA M8,UN,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,8.0,10.0,80.0,True,8.0,False,True,False,True
G2000052,"BARRA REDONDA SAE1020 9,52MM TREFILADA",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,2.16,10.0,21.6,True,2.16,False,False,True,False
G2000053,"BARRA REDONDA SAE1020 12,70MM TREFILADA",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,0.8,10.0,8.0,True,0.8,False,False,True,False
G2000054,"BARRA REDONDA SAE1020 15,88MM TREFILADA",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,1557.2299999999993,10.0,15572.299999999994,True,1557.2299999999993,False,False,True,False
G2000064,"BARRA REDONDA SAE1020 7,93MM LAMINADA",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,143.36000000000004,10.0,1433.6000000000004,True,143.36000000000004,False,False,True,False
G2000069,"BARRA REDONDA SAE1020 22,22MM LAMINADA",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,66.12,10.0,661.2,True,66.12,False,False,True,False
G2000073,"BARRA REDONDA SAE1020 41,27MM LAMINADA",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,18.240000000000006,10.0,182.40000000000006,True,18.240000000000006,False,False,True,False
G2000074,"BARRA REDONDA SAE1020 44,45MM LAMINADA",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,6.72,10.0,67.2,True,6.72,False,False,True,False
G2000076,"BARRA REDONDA SAE1020 50,80MM LAMINADA",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,2.56,10.0,25.6,True,2.56,False,False,True,False
G2000082,"BARRA REDONDA SAE1045 31,75MM LAMINADA",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,2.2,10.0,22.0,True,2.2,False,False,True,False
G2000166,"BARRA REDONDA SAE1020 63,50MM LAMINADA",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,9.99,10.0,99.9,True,9.99,False,False,True,False
G2000183,"TUBO REDONDO NBR 5590 ANSI B 36.10 SCH40 COM COSTURA 33,40 X 26,64 X 3,38MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,11.700000000000001,10.0,117.00000000000001,True,11.700000000000001,False,False,True,False
G2000188,"TUBO REDONDO NBR 5590 ANSI B 36.10 SCH40 COM COSTURA 88,90 X 77,92 X 5,49MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,0.79,10.0,7.9,True,0.79,False,False,True,False
G2000380,"TUBO DIN 2440 NBR5580 26,90 X 21,60 X 2,65MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,121.84,10.0,1218.4,True,121.84,False,False,True,False
G2000473,"TUBO DIN 2440 NBR5580 17,20 X 11,90 X 2,65MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,66.04,10.0,660.4000000000001,True,66.04,False,False,True,False
G2000815,"CHAPA ACO INOX 304 2,00MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,0.77,10.0,7.7,True,0.77,False,False,True,False
G2005693,"TUBO DIN 2440 NBR5580 76,10 X 69,40 X 3,35MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,14.100000000000001,10.0,141.0,True,14.100000000000001,False,False,True,False
G2005696,"TUBO INDUSTRIAL 22,22 X 2,65 PAREDE",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,356.864,10.0,3568.64,True,356.864,False,False,True,False
G2005707,"TUBO DIN 2440 NBR5580 60,30 X 52,80 X 3,75MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,10.33,10.0,103.3,True,10.33,False,False,True,False
G2005756,"TUBO MECANICO VMEC 134 AP DN 62 X 41 X 10,50MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,11.61,10.0,116.1,True,11.61,False,False,True,False
G2005789,"TUBO DIN 2440 NBR5580 33,70 X 27,20 X 3,25MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,1.28,10.0,12.8,True,1.28,False,False,True,False
G2005798,"TUBO REDONDO NBR 5590 ANSI B 36.10 SCH40 SEM COSTURA 33,40 X 26,64 X 3,38MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,6.54,10.0,65.4,True,6.54,False,False,True,False
G2005868,"TUBO DIN 2440 NBR5580 48,30 X 41,60 X 3,35MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,2.25,10.0,22.5,True,2.25,False,False,True,False
G2005882,"CHAPA ACO A36 3,00MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,2656.830000000001,10.0,26568.30000000001,True,2656.830000000001,False,False,True,False
G2005883,"CHAPA ACO A36 7,94MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,55.33,10.0,553.3,True,55.33,False,False,True,False
G2005884,"CHAPA ACO A36 9,52MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,4.23,10.0,42.300000000000004,True,4.23,False,False,True,False
G2005885,"CHAPA ACO A36 12,70MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,11.84,10.0,118.4,True,11.84,False,False,True,False
G2005887,"CHAPA ACO A36 6,35MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,101156.9800000001,10.0,1011569.800000001,True,101156.9800000001,False,False,True,False
G2005931,"CHAPA ACO A36 4,75MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,10920.109,10.0,109201.09,True,10920.109,False,False,True,False
G2005932,"CHAPA ACO A36 2,00MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,2124.64,10.0,21246.399999999998,True,2124.64,False,False,True,False
G2005934,"CHAPA ACO A36 19,05MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,4.76,10.0,47.599999999999994,True,4.76,False,False,True,False
G2005940,"CHAPA ACO A36 2,65MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,4477.300000000001,10.0,44773.000000000015,True,4477.300000000001,False,False,True,False
G2005946,"CHAPA ACO A36 3,75MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,714.8700000000001,10.0,7148.700000000001,True,714.8700000000001,False,False,True,False
G2006084,"CHAPA ACO A36 1,50MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,50.24,10.0,502.40000000000003,True,50.24,False,False,True,False
G2006183,"CHAPA ACO XADREZ 3,18MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,59.760000000000005,10.0,597.6,True,59.760000000000005,False,False,True,False
G2006323,"CHAPA ACO A36 1,00MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,1.3499999999999999,10.0,13.499999999999998,True,1.3499999999999999,False,False,True,False
G2006399,"TUBO REDONDO SAE1010 DIN2440  C/COSTURA 15,88X12,7MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,0.64,10.0,6.4,True,0.64,False,False,True,False
G2007032,"TUBO DIN 2440 NBR5580 60,30 X 54,30 X 3,00MM",KG,MATÉRIA_PRIMA,MP,MATERIA PRIMA,N,2.691,10.0,26.909999999999997,True,2.691,False,False,True,False
