produto,quantidade_conjuntos,CLASSIFICACAO_AIZI,UNIDADE_MEDIDA,quantidade_itens,quantidade_necessaria_total
I3001192,10,ITEM_COMERCIAL,CT,1,1960.0
I3001192,10,ITEM_COMERCIAL,KT,1,10.0
I3001192,10,ITEM_COMERCIAL,M,1,2118.368
I3001192,10,ITEM_COMERCIAL,MT,8,12259.21
I3001192,10,ITEM_COMERCIAL,PC,176,457990.78
I3001192,10,ITEM_COMERCIAL,UN,6,410.0
I3001192,10,MATÉRIA_PRIMA,KG,37,1246550.640000001
